Americano Sección K,2,1,Finalizado,131
Joie Lassiter,217,1,Finalizado,132
Americano Sección J,2,4,Finalizado,133
Selvamar 2,242,2,Finalizado,135
Proyecto Selvamar 2,242,1,Finalizado,136
Detalles Lote K-36,12,11,Finalizado,137
Bosque Verde 23,1,1,Finalizado,140
Bosque Verde 23,1,2,Finalizado,141
A-50-A,1,1,Finalizado,142
Lote K-19-1,245,2,Finalizado,143
Lote C,181,2,Finalizado,144
Pochote 2 Selvamar,221,1,Finalizado,145
Lote C-31-C,199,4,Finalizado,146
Curvas Casa Escondrijo,246,2,Finalizado,147
Bosque Verde Lot 48,1,1,Finalizado,148
Replanteo Hojancha,249,3,Finalizado,152
BB-802,1,1,Finalizado,153
Recatastro Ademar Suárez,250,4,Finalizado,154
Lote K-74,2,4,Finalizado,155
Inspección Pavones 120 ha,251,1,Finalizado,156
Plano resto de finca en Mal País,252,4,Finalizado,157
Casa Matapalo,1,7,Finalizado,158
Selvamar Lot Cassia #1,1,1,Finalizado,159
Segregación L35,111,4,Finalizado,160
Bella Vista Hotel Topographic Survey,255,4,Finalizado,162
Santo Domingo,1,7,Finalizado,164
Casa de Donald en Nosara Spring,4,3,Finalizado,170
FINCA RIO MAR,256,2,Finalizado,171
Chris Camacho - Esperanza de Nosara,159,2,Finalizado,174
Lote A-9,1,1,Finalizado,175
Selvamar Lot Cassia #3,1,1,Finalizado,178
Lote B-20-3,1,1,Finalizado,179
South Guiones Compound,1,7,Finalizado,181
Curvas de Nivel C-40-1,5,2,Finalizado,186
Nosara Springs 7B,1,1,Finalizado,187
Custodia Surf Club,10,11,Finalizado,188
NCA Finca 5053186,10,11,Finalizado,189
Finca Montaña 39,1,1,Finalizado,190
Highlands A Lots,1,1,Finalizado,191
Miramar Ostional,1,1,Finalizado,194
Miramar Ostional,1,3,Finalizado,195
PARq House,1,1,Finalizado,196
Lot J-50,1,1,Finalizado,197
lote G-15,178,4,Finalizado,199
Segregación 6 lotes--BodhiTree,13,4,Finalizado,200
Análisis plano L-35-6,1,11,Finalizado,201
Lot K-23-A,1,7,Finalizado,202
Ángeles de Garza,261,1,Finalizado,203
Lote Pelada,1,1,Finalizado,204
Nuevo Plano Lote B-20-3,1,4,Finalizado,208
planos Iglesia Cariari,264,4,Finalizado,209
plano Iglesia Quepos,163,4,Finalizado,210
Plano Catastrado Lote E-6,265,4,Finalizado,211
Inspecciones Valle del Sol 168,1,1,Finalizado,212
Replanteo lindero Ramiro-Eliza-Ana-Kira,101,3,Finalizado,214
Finca Barco Quebrado,2,1,Finalizado,215
Curvas de nivel Cristopher Selvamar,153,2,Finalizado,216
Inspección A-35-A,1,1,Pendiente,218
Inspección A-8,1,7,Pendiente,219
Inspección Lote L-37-6,1,7,Pendiente,220
Curvas de Nivel La Banana,5,2,Pendiente,225
Curvas Lote E-11 (Casa Las Huacas),14,2,Pendiente,226
Las Delicias,179,2,Pendiente,227
Villa Mango,5,2,Pendiente,229
Lot E-14-3,1,1,Pendiente,230
Lot EE-106-3,1,1,Pendiente,231
Lot EE-106-3,1,2,Pendiente,232
replanteo Stiffler Lot,5,3,Pendiente,233
Lote Arturo Grecia,150,4,Pendiente,235
C-40-2,1,7,Pendiente,236
Análisis del Proyecto La Encantada,38,1,Pendiente,240
Lot K-16,1,7,Pendiente,244
Pavones 67,1,1,Pendiente,245
inscripción de parcela 241113-B,273,4,Pendiente,248
"Servicio Especial Playa Chiquita, Limón",1,11,Pendiente,250
Identificacion de puntos Playa del Carmen.,118,11,Pendiente,251
Curvas Quetazal Luna,14,2,Pendiente,252
Plano de Catastro Finca 7302,9,4,Pendiente,254
GBC-21,1,1,Pendiente,255
